Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Librairie Droz					Genève			[Publications Romanes et Français]
Princeton University Press								
William Heinemann					Londres			
Palgrave Macmillan						USA		
University of Minnesota Press						USA		[Cultural Studies of Americas]
Daedalus Publishing Company					Los Angeles 	USA		
Blackwell Publishing					Oxford	USA		
Pan Books					London	Angleterre		
Black Swan					Vancouver	Canada		
Penguin Books 						Angleterre		[Penguin Modern Classics][Penguin Popular Classics]
Granta Books					Londres	Angleterre		
Deutscher Taschenbuch Verlag					München	Allemagne		
Vintage Books						Grande Bretagne		
Routledge 					Londres	Grande Bretagne		[Tavistock Classics in the Histor]
Harvard University Press					USA	USA		
The University of Chicago Press						USA		
Cambridge University Press					Cambridge	USA		[Lewis Henry Morgan Lectures]
Ballantine Books 					New York	USA		
Standford University Press						USA		[Cultural Memory in The Present]
Temple University Press						USA		
EPEL					Paris			[Atelier][Cahiers de l'Unebévue][Cahiers de l'Unebévue][Des traces][Essais][L'Unebévue][Lacan][Les grands classiques de l'éroto][Monographie clinique][Revue critique de publications p][revue du Littoral]
Le Nouveau Commerce					Paris			
Klincksieck					Paris			[Bibliothèque du XXe][Bibliothèque française et romane][Etudes et commentaires][Histoire de l'art et iconographi][Initiation à la Linguistique][Philosophie de l'éducation]
Balland					Paris			[Le Livre de Poche][Modernes][Phares][Presses Pocket][Situations]
Editions Francois Bourin					Paris			[Essai]
Zulma					Cadeilhan			[Grain d'Orage][Le livre des changements]
Editions Labor					Loveral	Belgique		[Média]
L'Enseigne du Pot Cassé					Paris			
Aubanel					Paris			[paris]
Editions Champ Libre					Paris			
Librairie Orientaliste Paul Geuthner								[Annales du Musée Guimet][Fondation Frazer][Variétés sinologiques]
Dunod					Paris			[Inconscient et Culture][L'évolution psychiatrique][Monographie de l'Enseignement Ma][Psychismes]
Calligrammes					Grenoble			
A . et J. Picard					Paris			[Empreinte]
Cornell University Press					Londres	Grande Bretagne		
Columbia University Press					Columbia	USA		
Verso					Londres	Grande Bretagne		
Indiana University Press					USA	USA		
Pandora Press					Londres	Grande Bretagne		
Duke University Press					Durham	USA		[GLQ]
Continuum					New York	USA		
Rutgers University Press								
